filename,score,score_tier,mean_abs_error,uncertainty,is_failure
DSC_0024_segment_1_segmented_smoothed.tif,14.303289515578054,low,0.112486936,0.19492443,False
DSC_0036_segment_1_segmented_smoothed.tif,15.125279571902682,low,0.10993938,0.22945237,False
DSC_0044_segment_1_segmented_smoothed.tif,17.487761025438942,low,0.11049288,0.11834109,False
DSC_0050_segment_1_segmented_smoothed.tif,15.223401356823585,low,0.16828774,0.12491964,True
DSC_0070_segment_1_segmented_smoothed.tif,13.59242454775487,low,0.13344023,0.20730309,True
DSC_0094_segment_1_segmented_smoothed.tif,14.744510550797257,low,0.114136405,0.112305045,False
DSC_0107_segment_1_segmented_smoothed.tif,19.39017040505854,medium,0.1292678,0.15011613,True
DSC_0109_segment_1_segmented_smoothed.tif,20.612776281117835,medium,0.086821,0.1083023,False
DSC_0120_segment_1_segmented_smoothed.tif,19.95242300629643,medium,0.08032636,0.21999037,False
DSC_0128_segment_1_segmented_smoothed.tif,24.02174362741241,high,0.120714374,0.16941997,False
DSC_0130_segment_1_segmented_smoothed.tif,19.127411289355173,medium,0.10584611,0.1551718,False
DSC_0148_segment_1_segmented_smoothed.tif,22.258581028529992,high,0.06369492,0.15627792,False
DSC_0163_segment_1_segmented_smoothed.tif,45.69645905556271,high,0.114461645,0.16115764,False
DSC_0173_segment_1_segmented_smoothed.tif,26.410803176599536,high,0.13037473,0.12907101,True
DSC_0175_segment_1_segmented_smoothed.tif,25.84817226592856,high,0.091962084,0.15259922,False
DSC_0184_segment_1_segmented_smoothed.tif,19.22542258304412,medium,0.17195453,0.17288937,True
DSC_0187_segment_1_segmented_smoothed.tif,22.531999872625093,high,0.12626083,0.18463519,False
DSC_0188_segment_1_segmented_smoothed.tif,17.683135334781156,low,0.076501474,0.20149036,False
DSC_0191_segment_1_segmented_smoothed.tif,30.88812234158999,high,0.11141431,0.17773673,False
DSC_0199_segment_1_segmented_smoothed.tif,12.671207824398117,low,0.12337991,0.16573532,False
DSC_0205_segment_1_segmented_smoothed.tif,19.648820594930072,medium,0.08504839,0.13590987,False
DSC_0210_segment_1_segmented_smoothed.tif,18.45318071788763,medium,0.09229179,0.1497028,False
DSC_0223_segment_1_segmented_smoothed.tif,17.50185354020958,low,0.0804683,0.1429042,False
DSC_0235_segment_1_segmented_smoothed.tif,18.69534306788411,medium,0.123086095,0.16885725,False
DSC_0239_segment_1_segmented_smoothed.tif,17.944802420809086,medium,0.13086098,0.18130161,True
DSC_0240_segment_1_segmented_smoothed.tif,29.091114510520534,high,0.074127674,0.14323068,False
DSC_0248_segment_1_segmented_smoothed.tif,17.475357614513484,low,0.19236276,0.16161378,True
DSC_0257_segment_1_segmented_smoothed.tif,20.63943437612167,medium,0.09925093,0.15211213,False
DSC_0257_segment_1_segmented_smoothed__1.tif,13.259593110916288,low,0.106715225,0.1360211,False
DSC_0262_segment_1_segmented_smoothed.tif,18.147247113829827,medium,0.04910675,0.13191788,False
DSC_0267_segment_1_segmented_smoothed.tif,16.491964522605645,low,0.12378943,0.16713701,False
DSC_0269_segment_1_segmented_smoothed.tif,28.293128660744667,high,0.10327657,0.18829657,False
DSC_0279_segment_1_segmented_smoothed.tif,31.7108781077868,high,0.08013437,0.1971215,False
DSC_0284_segment_1_segmented_smoothed.tif,20.702927188772424,medium,0.12506832,0.16592693,False
DSC_0394_segment_1_segmented_smoothed.tif,22.58599470114985,high,0.07140334,0.118983924,False
