thr,min_area,max_area_frac,dice_mean_all,iou_mean_all,dice_mean_teacher_nonempty,iou_mean_teacher_nonempty,hallucinations_teacher_empty_student_nonempty,misses_teacher_nonempty_student_empty
0.3,0,1.0,0.6039386208751555,0.4629534643498451,0.6486748150140559,0.49724631356094473,12,0
0.3,0,0.8,0.6039386208751555,0.4629534643498451,0.6486748150140559,0.49724631356094473,12,0
0.3,0,0.6,0.6039386208751555,0.4629534643498451,0.6486748150140559,0.49724631356094473,12,0
0.3,0,0.4,0.6096857473119371,0.4687005907866267,0.6486748150140559,0.49724631356094473,11,0
0.3,100,1.0,0.5939782513616036,0.45141154841642306,0.637976640351352,0.4848494408917136,12,0
0.3,100,0.8,0.5939782513616036,0.45141154841642306,0.637976640351352,0.4848494408917136,12,0
0.3,100,0.6,0.5939782513616036,0.45141154841642306,0.637976640351352,0.4848494408917136,12,0
0.3,100,0.4,0.5997253777983853,0.45715867485320466,0.637976640351352,0.4848494408917136,11,0
0.3,200,1.0,0.5844907328155148,0.4407314790559364,0.627786342653701,0.47337825528230215,12,0
0.3,200,0.8,0.5844907328155148,0.4407314790559364,0.627786342653701,0.47337825528230215,12,0
0.3,200,0.6,0.5844907328155148,0.4407314790559364,0.627786342653701,0.47337825528230215,12,0
0.3,200,0.4,0.5902378592522964,0.446478605492718,0.627786342653701,0.47337825528230215,11,0
0.3,500,1.0,0.5706552148832322,0.4258718146707319,0.6129259715412493,0.4574178750167119,12,0
0.3,500,0.8,0.5706552148832322,0.4258718146707319,0.6129259715412493,0.4574178750167119,12,0
0.3,500,0.6,0.5706552148832322,0.4258718146707319,0.6129259715412493,0.4574178750167119,12,0
0.3,500,0.4,0.5764023413200138,0.4316189411075135,0.6129259715412493,0.4574178750167119,11,0
0.3,1000,1.0,0.5595958806618718,0.4144894844811831,0.601047427377566,0.44519240925756703,12,0
0.3,1000,0.8,0.5595958806618718,0.4144894844811831,0.601047427377566,0.44519240925756703,12,0
0.3,1000,0.6,0.5595958806618718,0.4144894844811831,0.601047427377566,0.44519240925756703,12,0
0.3,1000,0.4,0.5653430070986534,0.4202366109179647,0.601047427377566,0.44519240925756703,11,0
0.3,2000,1.0,0.5470092159604387,0.40181385884552484,0.5875284171426935,0.4315778483896378,12,0
0.3,2000,0.8,0.5470092159604387,0.40181385884552484,0.5875284171426935,0.4315778483896378,12,0
0.3,2000,0.6,0.5470092159604387,0.40181385884552484,0.5875284171426935,0.4315778483896378,12,0
0.3,2000,0.4,0.5527563423972204,0.40756098528230644,0.5875284171426935,0.4315778483896378,11,0
0.3,5000,1.0,0.5216507178057582,0.3781065658572606,0.560291511717296,0.4061144596244652,12,0
0.3,5000,0.8,0.5216507178057582,0.3781065658572606,0.560291511717296,0.4061144596244652,12,0
0.3,5000,0.6,0.5216507178057582,0.3781065658572606,0.560291511717296,0.4061144596244652,12,0
0.3,5000,0.4,0.5273978442425399,0.3838536922940422,0.560291511717296,0.4061144596244652,11,0
