ablation,variant,test_mae,test_r2
backbone,DINOv2,0.12400450557470322,-1.6849278722490584
backbone,ResNet-18,0.09648709504732064,-0.7803165912628174
head_type,ridge,0.12400450557470322,-1.6849278722490584
head_type,knn_3,0.09059529412174774,-0.4856897631830287
head_type,knn_5,0.08573986000427006,-0.30854915220659684
head_type,knn_10,0.07887214250524777,-0.1379830129735569
head_type,mlp_small,0.41285169976098196,-187.50830732073103
head_type,mlp_medium,0.24541201761790685,-86.62063452175686
head_type,mlp_large,0.18878809469086782,-26.800450648580277
refine_budget,direct,0.103256853725476,
refine_budget,medium,0.1054443391553145,
refine_budget,small,0.1059456156695033,
refine_budget,tiny,0.1045524706565109,
selective_threshold,q0.3_0.7,0.0728061657417945,
selective_threshold,q0.3_0.8,0.0854448964082806,
selective_threshold,q0.3_0.9,0.0947176178679706,
selective_threshold,q0.4_0.7,0.0720742208864159,
selective_threshold,q0.4_0.8,0.084712951552902,
selective_threshold,q0.4_0.9,0.093985673012592,
selective_threshold,q0.5_0.7,0.0714706811008556,
selective_threshold,q0.5_0.8,0.0841094117673417,
selective_threshold,q0.5_0.9,0.0933821332270317,
selective_threshold,q0.6_0.7,0.0714848545531989,
selective_threshold,q0.6_0.8,0.084123585219685,
selective_threshold,q0.6_0.9,0.0933963066793749,
learning_curve,25%,0.1116931104500379,-1.0654960700443812
learning_curve,50%,0.1097332573096667,-1.0083234480449133
learning_curve,75%,0.1140581454549517,-1.322040660040719
learning_curve,100%,0.12400450557470322,-1.6849278722490584
per_param_difficulty,mu,0.09027283638715744,
per_param_difficulty,lambda,0.15645956993103027,
per_param_difficulty,diffusion_rate,0.06576284021139145,
per_param_difficulty,alpha,0.011433420702815056,
per_param_difficulty,beta,0.05686814710497856,
per_param_difficulty,gamma,0.09496655315160751,
per_param_difficulty,energy_threshold,0.06991210579872131,
ensemble_size,k=1,0.17395195258515223,-22.741481798035757
ensemble_size,k=2,0.13753887372357504,-12.251837474959236
ensemble_size,k=3,0.12360241264104843,-10.011333388941628
ensemble_size,k=4,0.1146007212144988,-6.599681666919163
ensemble_size,k=5,0.10910727402993611,-4.670288826738085
feature_dim_reduction,PCA-32,0.08540071999388081,-0.39516329765319824
feature_dim_reduction,PCA-64,0.1301277285175664,-2.233923946108137
feature_dim_reduction,PCA-128,0.17433749644884042,-4.404558556420462
confidence_split,high_conf,0.09854209263409887,-3.869111478328705
confidence_split,low_conf,0.12029393017292023,-8.011380893843514
