budget,steps,runtime_sec,test_mae,test_nmae,n_test,branch,runtime_sec_per_patch
direct,0,2.98,3.774866212919601,1.15406275165745,35.0,full_leaf,
tiny,3,11.03,3.4176194040132413,0.43375043877936,35.0,full_leaf,
small,6,17.97,3.2095630304962914,0.423354484799394,35.0,full_leaf,
medium,12,28.88,2.7945378846935407,0.3992744493579782,35.0,full_leaf,
large,24,55.0,2.0200448038925347,0.3372558809971588,35.0,full_leaf,
full,832,260.49,1.416326530612245,0.0257513914656772,35.0,full_leaf,
direct,0,,2.3599017243571865,0.3626364411071399,,patch,0.5
tiny,3,,2.1883032625975063,0.3510742325755073,,patch,2.0
small,6,,2.016263310660813,0.339571042104583,,patch,3.5
medium,10,,1.7862196293512118,0.3230785216551323,,patch,5.0
large,20,,1.20558545165514,0.2684013742731967,,patch,10.0
full,80,,5.822298425696851e-18,3.1845130216462734e-17,,patch,25.0
