branch_method,target_name,parameter,mae,rmse,r2,difficulty_rank
full_direct,full_target,mu,0.11841281238348661,0.1445082907273094,0.08317953371929443,2.0
full_direct,full_target,lambda,0.12223524177759883,0.15127615642135342,-0.41852502961593285,1.0
full_direct,full_target,diffusion_rate,0.08662148813358082,0.11537762082024364,-0.9716597841007506,4.0
full_direct,full_target,alpha,0.05178530260460064,0.06533220140653535,-21.374776581740043,7.0
full_direct,full_target,beta,0.07965341883447946,0.1044999912558618,-0.9574880771531311,5.0
full_direct,full_target,gamma,0.06911878222940109,0.10189774741359259,-0.6238045616596812,6.0
full_direct,full_target,energy_threshold,0.1130730301115498,0.1530539415694199,-0.6465512909381506,3.0
full_direct,patch_target,mu,0.07217757326829179,0.09190180345770677,-0.44875892723248345,5.0
full_direct,patch_target,lambda,0.07956520672621396,0.09966031519674876,-1.0774757651528648,3.0
full_direct,patch_target,diffusion_rate,0.07390200301416186,0.09635251197336586,-3.012038066195524,4.0
full_direct,patch_target,alpha,0.05063991326825381,0.06545150486333429,-82.29832045493116,7.0
full_direct,patch_target,beta,0.051509428159576646,0.06540235821166812,-3.1252846460439256,6.0
full_direct,patch_target,gamma,0.09409255010381067,0.1169418371390997,-1.0432370411470102,2.0
full_direct,patch_target,energy_threshold,0.1129427666465632,0.1352438238008527,-2.8243811649270802,1.0
patch_direct,full_target,mu,0.13694080298203495,0.15737814051082838,-0.08739564796080446,1.0
patch_direct,full_target,lambda,0.1186503528677768,0.1425228185742923,-0.259113397816791,2.0
patch_direct,full_target,diffusion_rate,0.06842607425353828,0.08346782067609651,-0.03187470980545859,5.0
patch_direct,full_target,alpha,0.01204019510341233,0.014435496606872007,-0.09236450773808835,7.0
patch_direct,full_target,beta,0.06542142799454048,0.07310527860933876,0.042003129342967904,6.0
patch_direct,full_target,gamma,0.09020022037808793,0.10643308071967476,-0.7715681195862978,4.0
patch_direct,full_target,energy_threshold,0.11034751766330432,0.12578314993117792,-0.11206752814984955,3.0
patch_direct,patch_target,mu,0.0618912611502694,0.07554562109892154,0.021036162618983667,2.0
patch_direct,patch_target,lambda,0.0575151787684447,0.0728259558366303,-0.10933787341484202,4.0
patch_direct,patch_target,diffusion_rate,0.03875714163866744,0.04695483161507185,0.04720485194864743,5.0
patch_direct,patch_target,alpha,0.005860087616847062,0.007245627737541893,-0.020819615848963302,7.0
patch_direct,patch_target,beta,0.025018830929893997,0.030811600080626386,0.08442145101468279,6.0
patch_direct,patch_target,gamma,0.06594006008569452,0.0855089604377853,-0.09245154156589042,1.0
patch_direct,patch_target,energy_threshold,0.057804217416805526,0.06876308438268462,0.011362713689564208,3.0
