Paper,Claim_ID,Claim_Short,Claim_Full,Evidence_Source,Evidence_Type,Evidence_Status,Key_Metric,Notes
P1,C1,Heuristic objective plausibility,"Heuristic objective (gradient alignment + chromatic separability + topology) produces biologically plausible segmentations without GT",experiments/exp_v1/outputs/ablations_objective/,Quantitative + Visual,COMPLETE,"Score components validated across 174 images","Ablation in C3 provides indirect support; visual plausibility shown in manuscript figures"
P1,C2,Convergence on all images,"Random-restart hill climbing converges on 100% of 174 images (mean score 21.10, mean runtime 258s)",tables/optimizer_summary_stats.csv,Quantitative,COMPLETE,"174/174 convergence, mean=21.10, runtime=258s","Summary stats table is primary evidence; per-image logs available"
P1,C3,Objective ablations,"Objective ablations show each term contributes (topology +11.12 pts, gradient alignment +5.09 pts)",experiments/exp_v1/outputs/ablations_objective/,Quantitative,COMPLETE,"Topology +11.12, gradient alignment +5.09","Drop-one-term ablation design; all three terms contribute"
P1,C4,Search ablations,"Search ablations show random exploration reaches ~90% of final score; refinement adds ~10%",experiments/exp_v1/outputs/ablations_search/,Quantitative,COMPLETE,"Random phase ~90%, refinement ~10%","Demonstrates diminishing returns of local refinement"
P1,C5,Trace-based surface analysis,"Trace-based surface analysis reveals score-tier-dependent landscape geometry (sharp for high-score, flat for low-score)",experiments/exp_v1/outputs/objective_surface_traces_representative_fullbudget_plus/,Quantitative + Visual,COMPLETE,"Sharp peaks (high-score) vs flat plateaus (low-score)","Representative traces shown in manuscript; full budget traces available"
P1,C6,Parameter-cloud geometry,"Parameter-cloud geometry shows structured low-dimensional manifold (2 PCs capture 46.5% variance, centroid shift 1.616 std units)",experiments/exp_v1/outputs/parameter_shift_manifold_geometry/,Quantitative + Visual,COMPLETE,"PCA 46.5% variance (2 PCs), centroid shift 1.616 std","PCA/t-SNE/UMAP all computed; manifold structure confirmed"
P1,C7,k-NN agreement,"k-NN agreement 0.534 (vs 0.33 random) shows parameter shift direction predicts optimization success",experiments/exp_v1/outputs/optimization_manifold_and_solid3d_final/,Quantitative,COMPLETE,"k-NN agreement 0.534 vs 0.33 random baseline","Demonstrates non-trivial structure in optimization trajectories"
P1,C8,Distilled UNet student,"Distilled UNet student achieves mean Dice 0.598 (median 0.682) across 174 images",tables/teacher_student_metrics.csv,Quantitative,COMPLETE,"Mean Dice 0.598, median 0.682","Distillation is secondary consequence showing practical utility"
P1,C9,Local re-optimization,"Local re-optimization reduces count error by 35%",experiments/exp_v1/outputs/,Quantitative,COMPLETE,"35% count error reduction","Post-hoc refinement step; supports deployment pipeline"
P2,C1,Patchwise aggregation superiority,"Patchwise aggregation (mean) achieves nMAE 0.906 vs full-leaf 1.154 (21.5% improvement, p=0.003)",experiments/exp_v1/outputs/integrated_full_vs_patch_leaves_18p7_v1/,Quantitative,COMPLETE,"nMAE 0.906 vs 1.154, 21.5% improvement, p=0.003","Statistical significance confirmed; core finding of paper"
P2,C2,Oracle gap,"Oracle gap of 0.327 nMAE quantifies irreducible floor from granularity mismatch",experiments/exp_v1/outputs/integrated_full_vs_patch_leaves_18p7_v1/,Quantitative,COMPLETE,"Oracle gap 0.327 nMAE","Honest limitation; already acknowledged in manuscript"
P2,C3,Selective routing speedup,"Selective routing achieves 3.5-4.7x speedup over full optimizer (260s to 55-74s)",experiments/exp_v1/outputs/selective_semiamortized_fullstudy174_v3/,Quantitative,COMPLETE,"3.5-4.7x speedup, 260s to 55-74s","Runtime-quality frontier is central contribution"
P2,C4,Calibration directional correctness,"Calibration is directionally correct (monotonic uncertainty-error relationship)",experiments/exp_v1/outputs/selective_semiamortized_fullstudy174_v3/,Quantitative,COMPLETE,"Monotonic uncertainty-error relationship","Not perfect calibration; directionally correct is honest framing"
P2,C5,Per-parameter patchwise benefit,"5/7 parameters benefit from patchwise; 2/7 favor full-leaf",experiments/exp_v1/outputs/integrated_full_vs_patch_leaves_18p7_v1/,Quantitative,COMPLETE,"5/7 patchwise, 2/7 full-leaf","Parameter-level analysis adds granularity to C1"
P2,C6,Per-parameter difficulty variation,"Per-parameter difficulty varies: beta 62.5% improvement with patchwise",experiments/exp_v1/outputs/integrated_full_vs_patch_leaves_18p7_v1/,Quantitative,COMPLETE,"Beta 62.5% improvement","Motivates per-parameter routing rather than global policy"
P2,C7,Cross-collection robustness,"Cross-collection robustness on 18.7 (28 external leaves)",experiments/exp_v1/outputs/selective_semiamortized_patchstudy_leaves_18p7_v1/,Quantitative,COMPLETE,"28 external leaves from collection 18.7","Limited sample but positive signal; acknowledged as limitation"
P2,C8,Failure taxonomy,"Failure taxonomy: Both good 29%, FL only 20%, Patch only 20%, Both bad 31%",experiments/exp_v1/outputs/integrated_full_vs_patch_leaves_18p7_v1/,Quantitative,COMPLETE,"29% both good / 20% FL only / 20% patch only / 31% both bad","Four-quadrant analysis guides routing strategy"
