base,dice,iou,teacher_path,student_path,teacher_area_px,student_area_px,teacher_empty,student_empty,failure_type
DSC_0106_segment_1_segmented_smoothed,0.0,0.0,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0106_segment_1_segmented_smoothed__fused_INNER_mu0p06871186194954564_b0p15054609792359558_e54__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0106_segment_1_segmented_smoothed_mask.png,0,343406,True,False,teacher_empty_student_nonempty
DSC_0110_segment_1_segmented_smoothed,0.0,0.0,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0110_segment_1_segmented_smoothed__fused_INNER_mu0p07063078851293966_b0p0642611632958932_e73__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0110_segment_1_segmented_smoothed_mask.png,0,602024,True,False,teacher_empty_student_nonempty
DSC_0128_segment_1_segmented_smoothed,0.0,0.0,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0128_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p0391093138457278_e75__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0128_segment_1_segmented_smoothed_mask.png,0,379564,True,False,teacher_empty_student_nonempty
DSC_0129_segment_1_segmented_smoothed,0.0,0.0,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0129_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p10692678550598882_e73__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0129_segment_1_segmented_smoothed_mask.png,0,321929,True,False,teacher_empty_student_nonempty
DSC_0137_segment_1_segmented_smoothed,0.0,0.0,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0137_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p10803709442621255_e66__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0137_segment_1_segmented_smoothed_mask.png,0,287827,True,False,teacher_empty_student_nonempty
DSC_0251_segment_1_segmented_smoothed__1,0.0,0.0,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0251_segment_1_segmented_smoothed__1__fused_INNER_mu0p1130271350668776_b0p21258864697894023_e80__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0251_segment_1_segmented_smoothed__1_mask.png,0,2243352,True,False,teacher_empty_student_nonempty
DSC_0217_segment_1_segmented_smoothed,0.0,0.0,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0217_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p027719079221904412_e75__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0217_segment_1_segmented_smoothed_mask.png,0,281867,True,False,teacher_empty_student_nonempty
DSC_0171_segment_1_segmented_smoothed,0.0,0.0,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0171_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p23469428233349593_e78__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0171_segment_1_segmented_smoothed_mask.png,0,324926,True,False,teacher_empty_student_nonempty
DSC_0264_segment_1_segmented_smoothed,0.0,0.0,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0264_segment_1_segmented_smoothed__fused_INNER_mu0p07581342568451246_b0p19312834562502343_e37__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0264_segment_1_segmented_smoothed_mask.png,0,309684,True,False,teacher_empty_student_nonempty
DSC_0256_segment_1_segmented_smoothed__1,0.0,0.0,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0256_segment_1_segmented_smoothed__1__fused_INNER_mu0p05_b0p0986694605663345_e78__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0256_segment_1_segmented_smoothed__1_mask.png,0,694253,True,False,teacher_empty_student_nonempty
DSC_0287_segment_1_segmented_smoothed,0.0,0.0,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0287_segment_1_segmented_smoothed__fused_INNER_mu0p4392957324446358_b0p09767123002370723_e80__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0287_segment_1_segmented_smoothed_mask.png,0,359147,True,False,teacher_empty_student_nonempty
DSC_0278_segment_1_segmented_smoothed,0.0,0.0,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0278_segment_1_segmented_smoothed__fused_INNER_mu0p05454822755826759_b0p09967992652372566_e60__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0278_segment_1_segmented_smoothed_mask.png,0,225691,True,False,teacher_empty_student_nonempty
DSC_0270_segment_1_segmented_smoothed,0.0100348326899123,0.0050427177594655,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0270_segment_1_segmented_smoothed__fused_INNER_mu0p05_b0p0426817011703894_e77__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0270_segment_1_segmented_smoothed_mask.png,674,78849,False,False,both_nonempty_mismatch
DSC_0248_segment_1_segmented_smoothed,0.0610829942970577,0.0315036662824629,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0248_segment_1_segmented_smoothed__fused_INNER_mu0p15265322059828837_b0p20527532843653085_e68__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0248_segment_1_segmented_smoothed_mask.png,45000,1300972,False,False,both_nonempty_mismatch
DSC_0133_segment_1_segmented_smoothed,0.0776215419323833,0.0403778671190525,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0133_segment_1_segmented_smoothed__fused_INNER_mu0p4923661815615094_b0p1571512733997572_e77__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0133_segment_1_segmented_smoothed_mask.png,23533,334615,False,False,both_nonempty_mismatch
DSC_0163_segment_1_segmented_smoothed,0.0960058438339683,0.050423392069275,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0163_segment_1_segmented_smoothed__fused_INNER_mu0p25211675549051565_b0p17490574233106546_e74__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0163_segment_1_segmented_smoothed_mask.png,12989,216997,False,False,both_nonempty_mismatch
DSC_0258_segment_1_segmented_smoothed,0.1147001170937387,0.060839189634343,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0258_segment_1_segmented_smoothed__fused_INNER_mu0p11521161737940236_b0p13783984880611977_e73__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0258_segment_1_segmented_smoothed_mask.png,16078,138499,False,False,both_nonempty_mismatch
DSC_0112_segment_1_segmented_smoothed,0.2268800788613676,0.1279552929029603,/deltos/e/lesion_phes/code/python/pipeline/segmentors_backbones/cpu_output_3/DSC_0112_segment_1_segmented_smoothed__fused_INNER_mu0p10864964653980265_b0p1694355387621186_e76__mask16.tif,experiments/exp_v1/outputs/unet_infer_on_leaves/DSC_0112_segment_1_segmented_smoothed_mask.png,43977,268470,False,False,both_nonempty_mismatch
